salary,salary25,salary50,salary75,sampleCount,isShowSalary,salaryThousand50,salaryThousand,originSampleCount,originTotalSampleCount,analyzeCode,desc,jobCount,jobUrl,job_code,salary_type
1070073.4,650000.0,780000.0,1415985.8,48.0,True,60.0,75.0,48.0,165.0,2,1~3年,5,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001006&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001006,年薪
1339302.0,621400.0,1007500.0,1628383.6,0.0,False,77.0,94.0,39.0,165.0,3,3~5年,4,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001006&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001006,年薪
1340938.4,650000.0,825500.0,1415985.8,51.0,True,63.0,94.0,51.0,165.0,4,5~10年,24,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001006&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001006,年薪
1235642.9,650000.0,845000.0,1415985.8,0.0,False,65.0,86.0,27.0,165.0,5,10年以上,12,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001006&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001006,年薪
877839.4,584113.44,764282.8,1054794.5,84.0,True,49.0,56.0,84.0,1728.0,1,1年以下,273,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002001&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001002001,年薪
992660.7,657127.6,872363.2,1246575.4,258.0,True,56.0,64.0,258.0,1728.0,2,1~3年,353,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002001&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001002001,年薪
940876.2,657127.6,849203.1,1134703.2,0.0,False,55.0,60.0,233.0,1728.0,3,3~5年,325,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002001&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001002001,年薪
1086137.9,730141.8,972723.56,1294520.5,537.0,True,63.0,70.0,537.0,1728.0,4,5~10年,590,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002001&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001002001,年薪
1195992.2,803156.0,1080804.0,1463127.9,616.0,True,70.0,77.0,616.0,1728.0,5,10年以上,171,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002001&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001002001,年薪
96777.78,52500.0,72500.0,125000.0,0.0,False,72.0,96.0,18.0,206.0,1,1年以下,28,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001007&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001007,月薪
93024.09,50000.0,72750.0,100000.0,83.0,True,72.0,93.0,83.0,206.0,2,1~3年,13,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001007&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001007,月薪
90417.8,50000.0,70000.0,100000.0,0.0,False,70.0,90.0,50.0,206.0,3,3~5年,16,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001007&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001007,月薪
88666.664,50000.0,75000.0,105000.0,0.0,False,75.0,88.0,39.0,206.0,4,5~10年,64,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001007&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001007,月薪
110625.0,62500.0,87500.0,145000.0,16.0,True,87.0,110.0,16.0,206.0,5,10年以上,27,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001007&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001007,月薪
999441.0,688238.4,980750.0,1276546.8,0.0,False,60.0,65.0,306.0,8592.0,1,1年以下,956,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001001&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001001,年薪
1010259.56,688238.4,948058.3,1309278.8,1233.0,True,58.0,66.0,1233.0,8592.0,2,1~3年,932,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001001&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001001,年薪
1077486.0,688238.4,980750.0,1387017.1,1350.0,True,60.0,70.0,1350.0,8592.0,3,3~5年,781,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001001&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001001,年薪
1109253.2,734120.94,980750.0,1391108.6,2719.0,True,60.0,73.0,2719.0,8592.0,4,5~10年,1000,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001001&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001001,年薪
1246744.4,825886.0,1144208.2,1636598.4,2984.0,True,70.0,82.0,2984.0,8592.0,5,10年以上,355,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001001&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001001,年薪
2040109.9,861250.0,1765134.9,2647810.8,0.0,False,125.0,141.0,13.0,152.0,1,1年以下,45,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001005&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001005,年薪
1693670.1,877500.0,1412108.0,2150882.8,36.0,True,100.0,117.0,36.0,152.0,2,1~3年,22,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001005&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001005,年薪
1966710.6,942500.0,1482713.4,2595892.8,0.0,False,105.0,136.0,22.0,152.0,3,3~5年,18,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001005&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001005,年薪
1758313.4,1040000.0,1539197.6,2225051.0,41.0,True,109.0,121.0,41.0,152.0,4,5~10年,39,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001005&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001005,年薪
1649389.2,747500.0,1412108.0,2225051.0,0.0,False,100.0,114.0,40.0,152.0,5,10年以上,38,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001005&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001005,年薪
56633.32,40000.0,49500.0,66000.0,84.0,True,49.0,56.0,84.0,1728.0,1,1年以下,273,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002001&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001002001,月薪
